GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
GSE17721_CTRL_VS_PAM3CSK4_4H_BMDM_DN	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_PAM3CSK4_4H_BMDM_DN	-0.27486	-1.2407	0.1032	0.98173	1	0.323	0.194	0.263	0.79057	0.38
GSE2197_IMMUNOSUPPRESSIVE_DNA_VS_UNTREATED_IN_DC_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2197_IMMUNOSUPPRESSIVE_DNA_VS_UNTREATED_IN_DC_UP	-0.26793	-1.2392	0.1017	0.98302	1	0.234	0.145	0.202	0.78926	0.378
GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP	-0.28632	-1.2379	0.1293	0.9823	1	0.267	0.192	0.218	0.79028	0.378
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	181	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	-0.26011	-1.2374	0.1365	0.97627	1	0.227	0.178	0.189	0.7826	0.376
GSE360_CTRL_VS_L_MAJOR_MAC_DN	150	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_L_MAJOR_MAC_DN	-0.28217	-1.2362	0.1035	0.97482	1	0.24	0.145	0.207	0.78671	0.377
GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_DN	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_DN	-0.27331	-1.2342	0.1434	0.97856	1	0.254	0.173	0.213	0.79197	0.381
GSE17721_CTRL_VS_GARDIQUIMOD_8H_BMDM_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_8H_BMDM_DN	-0.26851	-1.2309	0.105	0.99109	1	0.292	0.203	0.235	0.80518	0.387
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_UP	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_UP	-0.25179	-1.2296	0.1032	0.99052	1	0.262	0.196	0.213	0.80528	0.386
GSE12366_GC_VS_MEMORY_BCELL_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12366_GC_VS_MEMORY_BCELL_DN	-0.28638	-1.2284	0.1259	0.98963	1	0.31	0.201	0.251	0.80554	0.386
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	-0.30939	-1.2284	0.1856	0.98055	1	0.364	0.22	0.287	0.79801	0.383
GSE17721_0.5H_VS_8H_PAM3CSK4_BMDM_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_0.5H_VS_8H_PAM3CSK4_BMDM_DN	-0.2497	-1.2281	0.07617	0.9736	1	0.264	0.216	0.21	0.79066	0.381
GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN	-0.29792	-1.2281	0.1568	0.96494	1	0.362	0.22	0.286	0.78396	0.378
GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDM_UP	166	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDM_UP	-0.25455	-1.2267	0.08445	0.96445	1	0.175	0.121	0.156	0.78535	0.378
GSE360_CTRL_VS_M_TUBERCULOSIS_DC_DN	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_M_TUBERCULOSIS_DC_DN	-0.34809	-1.226	0.1834	0.96068	1	0.299	0.173	0.25	0.78038	0.377
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_DN	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_DN	-0.25226	-1.2247	0.09524	0.9605	1	0.366	0.284	0.266	0.78029	0.375
GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_UP	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_UP	-0.31058	-1.2233	0.2296	0.96105	1	0.289	0.187	0.237	0.7857	0.373
GSE3982_BASOPHIL_VS_TH2_UP	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BASOPHIL_VS_TH2_UP	-0.27668	-1.2215	0.1304	0.96529	1	0.287	0.211	0.229	0.78834	0.377
GSE27786_BCELL_VS_MONO_MAC_UP	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_MONO_MAC_UP	-0.27561	-1.2185	0.1847	0.96744	1	0.297	0.248	0.227	0.79486	0.377
GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_UP	-0.2487	-1.2185	0.0947	0.97576	1	0.135	0.0877	0.125	0.80177	0.385
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	179	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	-0.27111	-1.2182	0.1772	0.96128	1	0.235	0.176	0.196	0.7901	0.373
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_UP	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_UP	-0.26848	-1.2136	0.1627	0.98317	1	0.246	0.156	0.21	0.81284	0.385
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	-0.33956	-1.2135	0.2192	0.97544	1	0.333	0.197	0.271	0.80601	0.382
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	181	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	-0.33712	-1.2132	0.2351	0.96888	1	0.326	0.194	0.266	0.8002	0.377
GSE3982_BASOPHIL_VS_TH1_UP	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BASOPHIL_VS_TH1_UP	-0.28807	-1.2123	0.2218	0.96771	1	0.319	0.21	0.255	0.8011	0.374
GSE3982_EOSINOPHIL_VS_MAC_DN	181	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_EOSINOPHIL_VS_MAC_DN	-0.24403	-1.212	0.1583	0.96132	1	0.138	0.0907	0.127	0.79834	0.37
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	-0.31089	-1.2105	0.1942	0.96265	1	0.344	0.202	0.278	0.80194	0.373
GSE3982_MAST_CELL_VS_TH2_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAST_CELL_VS_TH2_UP	-0.27435	-1.2061	0.1729	0.98217	1	0.265	0.168	0.224	0.82328	0.387
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP	177	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP	-0.35181	-1.2054	0.2515	0.97089	1	0.299	0.173	0.251	0.81187	0.384
GSE360_DC_VS_MAC_T_GONDII_DN	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_DC_VS_MAC_T_GONDII_DN	-0.29517	-1.2054	0.1604	0.97854	1	0.255	0.17	0.214	0.81836	0.387
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	-0.30929	-1.2044	0.1905	0.97021	1	0.314	0.213	0.25	0.80829	0.385
GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN	158	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN	-0.27974	-1.2041	0.1784	0.96457	1	0.253	0.152	0.217	0.80403	0.376
GSE360_DC_VS_MAC_L_DONOVANI_DN	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_DC_VS_MAC_L_DONOVANI_DN	-0.28343	-1.2026	0.1856	0.96731	1	0.315	0.201	0.255	0.80862	0.379
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN	162	http://www.broadinstitute.org/gsea/msigdb/cards/KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN	-0.30022	-1.2023	0.1919	0.96177	1	0.222	0.136	0.194	0.80557	0.376
GSE17721_CTRL_VS_PAM3CSK4_2H_BMDM_DN	132	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_PAM3CSK4_2H_BMDM_DN	-0.28808	-1.2014	0.1218	0.95988	1	0.295	0.179	0.245	0.80635	0.379
GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_UP	-0.24477	-1.2013	0.1004	0.95344	1	0.231	0.191	0.189	0.80183	0.378
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.28036	-1.2009	0.2075	0.94827	1	0.309	0.223	0.243	0.79858	0.371
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	100	http://www.broadinstitute.org/gsea/msigdb/cards/GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	-0.28048	-1.2005	0.1232	0.94407	1	0.19	0.0961	0.173	0.79341	0.363
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_DN	98	http://www.broadinstitute.org/gsea/msigdb/cards/GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_DN	-0.2659	-1.2	0.1798	0.94014	1	0.327	0.214	0.259	0.79305	0.363
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_UP	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_UP	-0.23933	-1.2	0.1157	0.9335	1	0.217	0.164	0.184	0.78722	0.357
GSE3982_EOSINOPHIL_VS_TH2_UP	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_EOSINOPHIL_VS_TH2_UP	-0.26614	-1.1989	0.1429	0.93355	1	0.275	0.181	0.228	0.79039	0.356
GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_DN	141	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_DN	-0.25891	-1.1975	0.1286	0.93487	1	0.326	0.219	0.257	0.79092	0.359
GSE14308_TH17_VS_INDUCED_TREG_DN	154	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14308_TH17_VS_INDUCED_TREG_DN	-0.25392	-1.1972	0.1196	0.92976	1	0.234	0.178	0.194	0.78523	0.356
GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDM_DN	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDM_DN	-0.2571	-1.1965	0.1431	0.92756	1	0.267	0.221	0.211	0.78257	0.356
GSE3982_MAST_CELL_VS_MAC_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAST_CELL_VS_MAC_DN	-0.25515	-1.1959	0.1136	0.92418	1	0.325	0.237	0.251	0.78181	0.355
GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	-0.27875	-1.1958	0.2122	0.91886	1	0.216	0.136	0.189	0.77731	0.345
GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_UP	156	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_UP	-0.32822	-1.1955	0.24	0.91402	1	0.359	0.22	0.284	0.77262	0.34
GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_UP	147	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_UP	-0.28324	-1.1954	0.1446	0.9082	1	0.245	0.146	0.211	0.76725	0.336
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	-0.28417	-1.1939	0.1964	0.91042	1	0.304	0.228	0.237	0.77387	0.339
GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDM_UP	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDM_UP	-0.23803	-1.1931	0.07326	0.90923	1	0.211	0.149	0.182	0.77888	0.336
GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP	-0.27239	-1.1927	0.1399	0.90546	1	0.188	0.149	0.162	0.77562	0.333
GSE27786_NKCELL_VS_NEUTROPHIL_DN	141	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_NKCELL_VS_NEUTROPHIL_DN	-0.27046	-1.1917	0.1644	0.9045	1	0.369	0.247	0.281	0.77054	0.333
GSE27786_LSK_VS_NKCELL_DN	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LSK_VS_NKCELL_DN	-0.2629	-1.1911	0.1504	0.90216	1	0.369	0.249	0.281	0.77082	0.331
GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	-0.26729	-1.1907	0.166	0.89868	1	0.348	0.27	0.258	0.77045	0.33
GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDM_DN	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDM_DN	-0.23584	-1.1899	0.1396	0.89752	1	0.234	0.196	0.19	0.76975	0.328
GSE6269_HEALTHY_VS_STREP_PNEUMO_INF_PBMC_DN	150	http://www.broadinstitute.org/gsea/msigdb/cards/GSE6269_HEALTHY_VS_STREP_PNEUMO_INF_PBMC_DN	-0.31218	-1.1881	0.2204	0.90171	1	0.333	0.202	0.269	0.77668	0.332
GSE14769_20MIN_VS_360MIN_LPS_BMDM_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14769_20MIN_VS_360MIN_LPS_BMDM_DN	-0.25408	-1.1879	0.1806	0.89729	1	0.331	0.244	0.254	0.77359	0.33
GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	-0.28821	-1.1866	0.2059	0.89858	1	0.267	0.168	0.225	0.76856	0.327
GSE17721_LPS_VS_PAM3CSK4_16H_BMDM_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_PAM3CSK4_16H_BMDM_UP	-0.25883	-1.1864	0.1722	0.89382	1	0.168	0.115	0.15	0.7636	0.327
GSE27786_LIN_NEG_VS_NKTCELL_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LIN_NEG_VS_NKTCELL_DN	-0.22982	-1.1852	0.1019	0.89536	1	0.262	0.221	0.207	0.77001	0.328
GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_DN	187	http://www.broadinstitute.org/gsea/msigdb/cards/GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_DN	-0.2541	-1.1845	0.1718	0.89418	1	0.267	0.194	0.219	0.76817	0.328
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN	-0.26086	-1.1841	0.1505	0.89035	1	0.245	0.191	0.201	0.76589	0.328
GSE20715_0H_VS_24H_OZONE_LUNG_DN	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_0H_VS_24H_OZONE_LUNG_DN	-0.29433	-1.1838	0.2263	0.88643	1	0.23	0.122	0.204	0.76828	0.328
GSE17721_CTRL_VS_POLYIC_4H_BMDM_UP	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_POLYIC_4H_BMDM_UP	-0.25801	-1.1837	0.1612	0.88183	1	0.264	0.22	0.209	0.76348	0.325
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	-0.33561	-1.1835	0.2438	0.87723	1	0.315	0.167	0.266	0.75874	0.324
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_DN	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_DN	-0.28675	-1.1833	0.1947	0.87306	1	0.341	0.19	0.28	0.75405	0.323
GSE27786_BCELL_VS_NKCELL_DN	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_NKCELL_DN	-0.25836	-1.1814	0.1749	0.8784	1	0.225	0.179	0.187	0.75752	0.322
GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP	139	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP	-0.26374	-1.1803	0.147	0.87913	1	0.252	0.169	0.212	0.75838	0.322
GSE17721_CTRL_VS_GARDIQUIMOD_1H_BMDM_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_1H_BMDM_DN	-0.29364	-1.1789	0.239	0.88117	1	0.283	0.213	0.225	0.76525	0.324
GSE3982_NEUTROPHIL_VS_NKCELL_UP	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_NEUTROPHIL_VS_NKCELL_UP	-0.27256	-1.1787	0.1916	0.87746	1	0.273	0.182	0.226	0.76269	0.322
GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP	-0.2578	-1.1775	0.1556	0.87871	1	0.423	0.297	0.301	0.76303	0.322
GSE29618_BCELL_VS_PDC_UP	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_BCELL_VS_PDC_UP	-0.3034	-1.1746	0.219	0.88957	1	0.184	0.0793	0.172	0.77387	0.324
GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP	-0.26153	-1.1735	0.1813	0.8907	1	0.132	0.0728	0.124	0.77688	0.329
GSE27786_BCELL_VS_NKTCELL_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_NKTCELL_UP	-0.25236	-1.1734	0.1741	0.88593	1	0.365	0.265	0.271	0.77231	0.327
GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_DN	154	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_DN	-0.26064	-1.171	0.2106	0.89387	1	0.279	0.181	0.231	0.78036	0.33
GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_DN	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_DN	-0.27478	-1.1685	0.1856	0.9023	1	0.235	0.124	0.208	0.7917	0.334
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	-0.31566	-1.1682	0.2576	0.89893	1	0.297	0.194	0.242	0.79146	0.333
GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	-0.25483	-1.1671	0.1931	0.90024	1	0.388	0.301	0.275	0.79608	0.333
GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDM_DN	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDM_DN	-0.23888	-1.1649	0.152	0.908	1	0.287	0.22	0.227	0.79711	0.338
GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN	146	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN	-0.27823	-1.1642	0.2356	0.90639	1	0.349	0.237	0.27	0.79942	0.337
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP	-0.26443	-1.1622	0.2398	0.91289	1	0.289	0.197	0.235	0.80282	0.343
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_UP	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_UP	-0.27233	-1.1618	0.2296	0.90951	1	0.206	0.136	0.181	0.80022	0.343
GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_DN	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_DN	-0.25317	-1.161	0.1682	0.90874	1	0.329	0.227	0.258	0.79712	0.342
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP	-0.30902	-1.1606	0.2402	0.90637	1	0.231	0.112	0.208	0.79732	0.342
GSE25087_FETAL_VS_ADULT_TREG_DN	142	http://www.broadinstitute.org/gsea/msigdb/cards/GSE25087_FETAL_VS_ADULT_TREG_DN	-0.29606	-1.1603	0.2291	0.90324	1	0.275	0.187	0.226	0.79651	0.342
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MDC_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MDC_UP	-0.23964	-1.1588	0.1245	0.90677	1	0.224	0.149	0.193	0.79574	0.344
GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_DN	-0.27217	-1.1576	0.2332	0.90816	1	0.275	0.201	0.222	0.80202	0.343
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP	179	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP	-0.263	-1.1562	0.2424	0.91092	1	0.285	0.222	0.225	0.8051	0.339
GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN	-0.312	-1.1539	0.2729	0.91797	1	0.313	0.177	0.261	0.81147	0.348
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_DN	-0.29241	-1.1534	0.2814	0.91647	1	0.208	0.141	0.181	0.81234	0.349
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	150	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	-0.33493	-1.1533	0.3162	0.91218	1	0.293	0.167	0.247	0.80978	0.341
GSE3982_MAC_VS_NKCELL_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_NKCELL_UP	-0.27606	-1.1529	0.2356	0.90925	1	0.299	0.197	0.244	0.80804	0.341
GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDM_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDM_UP	-0.23704	-1.1528	0.195	0.90534	1	0.399	0.307	0.28	0.80618	0.338
GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP	-0.26391	-1.1518	0.2289	0.90571	1	0.337	0.257	0.254	0.80884	0.339
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	-0.26545	-1.1475	0.2481	0.92022	1	0.152	0.0784	0.142	0.82451	0.349
GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDM_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_PAM3CSK4_16H_BMDM_UP	-0.23692	-1.1475	0.182	0.92472	1	0.216	0.159	0.184	0.82774	0.357
GSE17721_CTRL_VS_PAM3CSK4_0.5H_BMDM_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_PAM3CSK4_0.5H_BMDM_UP	-0.22504	-1.1474	0.1829	0.91115	1	0.241	0.189	0.198	0.81607	0.341
GSE27786_NKTCELL_VS_NEUTROPHIL_UP	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_NKTCELL_VS_NEUTROPHIL_UP	-0.22508	-1.1474	0.1957	0.91579	1	0.267	0.226	0.21	0.8203	0.346
