GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP	126	http://www.broadinstitute.org/gsea/msigdb/cards/GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP	0.2736	1.1507	0.2363	0.74998	1	0.278	0.2	0.224	0.66639	0.191
GSE17721_CTRL_VS_LPS_12H_BMDM_DN	166	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_LPS_12H_BMDM_DN	0.22551	1.1504	0.1843	0.74561	1	0.102	0.0898	0.0944	0.66403	0.187
GSE17721_CTRL_VS_LPS_8H_BMDM_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_LPS_8H_BMDM_DN	0.26365	1.1502	0.2108	0.74359	1	0.296	0.23	0.231	0.66191	0.186
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_DN	118	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_DN	0.29304	1.1484	0.2678	0.74916	1	0.373	0.243	0.285	0.66803	0.187
GSE11057_CD4_EFF_MEM_VS_PBMC_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_CD4_EFF_MEM_VS_PBMC_DN	0.30053	1.1478	0.2468	0.74903	1	0.298	0.178	0.248	0.67044	0.187
GSE20715_WT_VS_TLR4_KO_LUNG_UP	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_WT_VS_TLR4_KO_LUNG_UP	0.25117	1.1475	0.221	0.74769	1	0.216	0.174	0.181	0.66864	0.186
GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP	0.24831	1.1452	0.1946	0.75494	1	0.152	0.13	0.134	0.67214	0.189
GSE27786_CD4_TCELL_VS_NKCELL_UP	154	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_CD4_TCELL_VS_NKCELL_UP	0.23582	1.1452	0.1878	0.75214	1	0.266	0.222	0.21	0.66959	0.187
GSE20366_EX_VIVO_VS_DEC205_CONVERSION_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_EX_VIVO_VS_DEC205_CONVERSION_UP	0.2354	1.1439	0.1667	0.75567	1	0.339	0.267	0.252	0.67831	0.19
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	100	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	0.28301	1.1435	0.2269	0.75471	1	0.2	0.136	0.174	0.67652	0.19
GSE3982_NKCELL_VS_TH1_DN	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_NKCELL_VS_TH1_DN	0.28221	1.1416	0.2648	0.76041	1	0.283	0.244	0.217	0.68484	0.193
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_DN	132	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_DN	0.28722	1.1411	0.2244	0.76013	1	0.22	0.136	0.192	0.6841	0.193
GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN	0.29728	1.141	0.2553	0.75753	1	0.27	0.15	0.232	0.68156	0.192
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_DN	143	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_DN	0.24893	1.1405	0.1775	0.75723	1	0.196	0.17	0.164	0.68287	0.191
GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_UP	130	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_UP	0.28255	1.1396	0.1987	0.75841	1	0.177	0.0863	0.163	0.68379	0.194
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN	184	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN	0.25947	1.1396	0.2688	0.75572	1	0.25	0.214	0.199	0.68127	0.192
GSE17721_LPS_VS_GARDIQUIMOD_0.5H_BMDM_DN	158	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_GARDIQUIMOD_0.5H_BMDM_DN	0.21772	1.1383	0.1964	0.75888	1	0.241	0.245	0.184	0.68282	0.193
GSE17721_12H_VS_24H_POLYIC_BMDM_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_12H_VS_24H_POLYIC_BMDM_UP	0.26241	1.1383	0.2094	0.75619	1	0.186	0.136	0.162	0.68033	0.191
GSE22886_TH1_VS_TH2_12H_ACT_UP	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_TH1_VS_TH2_12H_ACT_UP	0.27006	1.138	0.2321	0.75504	1	0.177	0.123	0.157	0.67924	0.191
GSE17721_12H_VS_24H_PAM3CSK4_BMDM_UP	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_12H_VS_24H_PAM3CSK4_BMDM_UP	0.24279	1.1378	0.1991	0.75324	1	0.213	0.186	0.175	0.67741	0.189
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN	67	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN	0.29558	1.1369	0.2187	0.75435	1	0.358	0.258	0.267	0.67812	0.19
GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_DN	156	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_DN	0.27978	1.1367	0.2259	0.75217	1	0.308	0.242	0.236	0.67568	0.187
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_MAC_DN	146	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_MAJOR_VS_M_TUBERCULOSIS_MAC_DN	0.25443	1.1351	0.2279	0.75686	1	0.274	0.264	0.204	0.68393	0.19
GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_UP	156	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_UP	0.26703	1.135	0.2479	0.75474	1	0.269	0.205	0.217	0.68198	0.186
GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_1_UP	129	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_1_UP	0.2637	1.1348	0.2108	0.75283	1	0.233	0.175	0.194	0.68002	0.186
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH2_UP	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH2_UP	0.24417	1.134	0.2098	0.75365	1	0.153	0.111	0.138	0.67928	0.186
GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP	154	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP	0.26062	1.133	0.212	0.75562	1	0.214	0.149	0.185	0.68553	0.186
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_UP	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_CD8_TCELL_UP	0.23589	1.1319	0.1799	0.75809	1	0.168	0.14	0.146	0.68937	0.189
GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_UP	159	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_UP	0.25587	1.1318	0.2241	0.75565	1	0.333	0.26	0.25	0.68695	0.187
GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP	0.23854	1.1317	0.1876	0.75337	1	0.233	0.184	0.193	0.68455	0.186
GSE2706_R848_VS_LPS_8H_STIM_DC_DN	140	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2706_R848_VS_LPS_8H_STIM_DC_DN	0.26949	1.1302	0.2714	0.75773	1	0.179	0.11	0.161	0.68577	0.187
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.25948	1.1299	0.2648	0.75646	1	0.23	0.195	0.188	0.68366	0.186
GSE27786_LIN_NEG_VS_ERYTHROBLAST_UP	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LIN_NEG_VS_ERYTHROBLAST_UP	0.23425	1.1298	0.2089	0.75418	1	0.367	0.329	0.249	0.68215	0.184
GSE3982_NEUTROPHIL_VS_TH2_DN	181	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_NEUTROPHIL_VS_TH2_DN	0.22709	1.1298	0.2369	0.75173	1	0.26	0.243	0.199	0.6798	0.184
GSE27786_NKTCELL_VS_ERYTHROBLAST_DN	130	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_NKTCELL_VS_ERYTHROBLAST_DN	0.28783	1.1297	0.247	0.74957	1	0.254	0.207	0.203	0.67964	0.183
GSE2706_R848_VS_R848_AND_LPS_8H_STIM_DC_UP	132	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2706_R848_VS_R848_AND_LPS_8H_STIM_DC_UP	0.28644	1.1264	0.2727	0.76156	1	0.311	0.213	0.247	0.68918	0.188
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_DN	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_DN	0.22939	1.1263	0.1818	0.75938	1	0.152	0.129	0.134	0.68683	0.187
GSE17721_CTRL_VS_CPG_8H_BMDM_UP	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_CPG_8H_BMDM_UP	0.21239	1.1243	0.1566	0.76511	1	0.326	0.276	0.239	0.69302	0.191
GSE27786_BCELL_VS_NKTCELL_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_NKTCELL_DN	0.23664	1.1242	0.2222	0.76336	1	0.215	0.17	0.181	0.69194	0.19
GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN	142	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN	0.29563	1.1231	0.2825	0.76565	1	0.204	0.0978	0.186	0.69744	0.188
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_UP	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_UP	0.23307	1.1229	0.2326	0.76426	1	0.136	0.112	0.122	0.69575	0.187
GSE27786_CD4_VS_CD8_TCELL_DN	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_CD4_VS_CD8_TCELL_DN	0.24675	1.1226	0.1973	0.76304	1	0.346	0.304	0.244	0.69372	0.187
GSE17721_PAM3CSK4_VS_CPG_24H_BMDM_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_PAM3CSK4_VS_CPG_24H_BMDM_UP	0.23354	1.1222	0.1858	0.76233	1	0.2	0.177	0.167	0.69253	0.186
GSE17721_LPS_VS_CPG_0.5H_BMDM_DN	143	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_CPG_0.5H_BMDM_DN	0.24871	1.1217	0.2022	0.76177	1	0.245	0.204	0.197	0.69371	0.187
GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_UP	121	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_UP	0.24444	1.1215	0.2092	0.76034	1	0.256	0.217	0.202	0.69182	0.186
GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	0.29843	1.1213	0.3013	0.75853	1	0.308	0.214	0.245	0.68983	0.185
GSE14350_TREG_VS_TEFF_IN_IL2RB_KO_UP	183	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14350_TREG_VS_TEFF_IN_IL2RB_KO_UP	0.22265	1.1208	0.228	0.7581	1	0.186	0.159	0.159	0.6893	0.184
GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_DC_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_DC_DN	0.24386	1.1199	0.2511	0.75944	1	0.2	0.174	0.167	0.69067	0.183
GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP	0.26603	1.1191	0.2326	0.7606	1	0.289	0.195	0.235	0.69171	0.187
GSE27786_CD8_TCELL_VS_MONO_MAC_UP	179	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_CD8_TCELL_VS_MONO_MAC_UP	0.20362	1.118	0.1808	0.76307	1	0.19	0.191	0.156	0.69452	0.187
GSE27786_LSK_VS_NEUTROPHIL_UP	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LSK_VS_NEUTROPHIL_UP	0.22624	1.1176	0.2044	0.76225	1	0.3	0.274	0.221	0.69285	0.186
GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN	145	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN	0.26487	1.1174	0.2408	0.7609	1	0.234	0.177	0.195	0.69115	0.187
GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP	123	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP	0.28338	1.1173	0.3057	0.75889	1	0.301	0.201	0.243	0.69009	0.185
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_UP	125	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_UP	0.25714	1.1163	0.2399	0.76086	1	0.2	0.132	0.175	0.69075	0.189
GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_DN	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_DN	0.24797	1.1142	0.2887	0.76769	1	0.269	0.228	0.21	0.70155	0.195
GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP	0.29154	1.113	0.3048	0.77016	1	0.187	0.119	0.167	0.7024	0.194
GSE17721_PAM3CSK4_VS_GADIQUIMOD_6H_BMDM_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_PAM3CSK4_VS_GADIQUIMOD_6H_BMDM_DN	0.23536	1.1129	0.2484	0.76823	1	0.258	0.223	0.203	0.70181	0.193
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_DN	0.22688	1.1128	0.2177	0.76622	1	0.244	0.242	0.187	0.70064	0.193
GSE11924_TH1_VS_TH2_CD4_TCELL_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11924_TH1_VS_TH2_CD4_TCELL_UP	0.24007	1.1117	0.2363	0.76866	1	0.327	0.282	0.238	0.70318	0.195
GSE3982_BCELL_VS_TH2_DN	159	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BCELL_VS_TH2_DN	0.28421	1.1116	0.3018	0.76639	1	0.377	0.28	0.275	0.70095	0.193
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	110	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	0.2654	1.1111	0.2568	0.76632	1	0.209	0.133	0.183	0.70027	0.19
GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_DN	137	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_DN	0.25694	1.1106	0.2563	0.76613	1	0.365	0.255	0.275	0.69991	0.19
GSE24142_DN2_VS_DN3_THYMOCYTE_FETAL_DN	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24142_DN2_VS_DN3_THYMOCYTE_FETAL_DN	0.28573	1.1104	0.2954	0.76464	1	0.28	0.214	0.222	0.69857	0.191
GSE17721_CTRL_VS_POLYIC_1H_BMDM_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_POLYIC_1H_BMDM_UP	0.21602	1.1102	0.1862	0.76079	1	0.206	0.18	0.171	0.69688	0.186
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_DN	126	http://www.broadinstitute.org/gsea/msigdb/cards/GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_DN	0.28243	1.1102	0.2903	0.76292	1	0.183	0.109	0.164	0.69837	0.189
GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_UP	146	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_UP	0.25695	1.1098	0.2761	0.75981	1	0.226	0.161	0.192	0.69643	0.184
GSE22886_NAIVE_TCELL_VS_DC_DN	188	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_TCELL_VS_DC_DN	0.24177	1.1095	0.2818	0.75888	1	0.239	0.187	0.197	0.69441	0.184
GSE3982_DC_VS_MAC_DN	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_DC_VS_MAC_DN	0.27493	1.1091	0.2906	0.75837	1	0.255	0.197	0.207	0.69443	0.183
GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP	0.29713	1.109	0.3424	0.75616	1	0.274	0.231	0.214	0.69229	0.181
GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_UP	177	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_UP	0.22021	1.1088	0.2469	0.75471	1	0.26	0.243	0.199	0.69254	0.177
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP	113	http://www.broadinstitute.org/gsea/msigdb/cards/GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP	0.27509	1.1085	0.2614	0.75401	1	0.31	0.214	0.246	0.6938	0.173
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	0.25563	1.1076	0.275	0.75565	1	0.276	0.242	0.212	0.6963	0.175
GSE30083_SP2_VS_SP3_THYMOCYTE_UP	133	http://www.broadinstitute.org/gsea/msigdb/cards/GSE30083_SP2_VS_SP3_THYMOCYTE_UP	0.25763	1.1071	0.2613	0.75565	1	0.331	0.248	0.251	0.69593	0.173
GSE2826_WT_VS_BTK_KO_BCELL_DN	147	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2826_WT_VS_BTK_KO_BCELL_DN	0.25448	1.1067	0.2484	0.75488	1	0.286	0.204	0.23	0.69609	0.171
GSE17721_ALL_VS_24H_PAM3CSK4_BMDM_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_ALL_VS_24H_PAM3CSK4_BMDM_UP	0.27156	1.1066	0.2863	0.75303	1	0.186	0.129	0.164	0.69399	0.171
GSE27786_LSK_VS_ERYTHROBLAST_DN	110	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LSK_VS_ERYTHROBLAST_DN	0.26645	1.106	0.251	0.75321	1	0.273	0.197	0.221	0.69491	0.171
GSE3982_MAC_VS_NEUTROPHIL_DN	140	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_NEUTROPHIL_DN	0.22644	1.1055	0.1991	0.75309	1	0.15	0.114	0.134	0.69283	0.17
GSE29614_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP	83	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29614_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP	0.28673	1.1052	0.3302	0.75213	1	0.181	0.0894	0.166	0.6928	0.17
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	0.23502	1.1047	0.2558	0.75207	1	0.215	0.206	0.173	0.6944	0.17
GSE3982_BCELL_VS_NKCELL_DN	122	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BCELL_VS_NKCELL_DN	0.29311	1.1041	0.2731	0.75245	1	0.254	0.154	0.217	0.69416	0.17
GSE7852_LN_VS_THYMUS_TCONV_DN	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7852_LN_VS_THYMUS_TCONV_DN	0.28292	1.1041	0.3006	0.75042	1	0.306	0.24	0.236	0.6921	0.17
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.23763	1.1036	0.2505	0.75016	1	0.238	0.184	0.196	0.69361	0.169
GSE3982_BASOPHIL_VS_TH2_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BASOPHIL_VS_TH2_DN	0.25331	1.1033	0.3063	0.74916	1	0.315	0.285	0.228	0.69156	0.17
GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDM_DN	150	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDM_DN	0.23102	1.1032	0.2478	0.74757	1	0.293	0.271	0.216	0.69192	0.169
GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN	67	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN	0.27881	1.1029	0.2723	0.74675	1	0.254	0.19	0.207	0.69288	0.168
GSE13229_IMM_VS_MATURE_NKCELL_UP	150	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13229_IMM_VS_MATURE_NKCELL_UP	0.22799	1.102	0.2431	0.74801	1	0.113	0.0756	0.106	0.69326	0.168
GSE3982_DC_VS_BCELL_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_DC_VS_BCELL_DN	0.23292	1.1013	0.2604	0.74901	1	0.27	0.237	0.208	0.69613	0.168
GSE17721_CTRL_VS_POLYIC_1H_BMDM_DN	148	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_POLYIC_1H_BMDM_DN	0.22743	1.1003	0.2109	0.75075	1	0.291	0.268	0.215	0.69882	0.168
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MONOCYTE_DN	145	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MONOCYTE_DN	0.27514	1.0999	0.3056	0.75018	1	0.179	0.157	0.153	0.69804	0.167
GSE22886_NAIVE_BCELL_VS_DC_DN	189	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_BCELL_VS_DC_DN	0.22867	1.0995	0.2757	0.74977	1	0.254	0.214	0.202	0.69672	0.168
GSE3982_MAST_CELL_VS_NEUTROPHIL_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAST_CELL_VS_NEUTROPHIL_DN	0.25121	1.0992	0.2784	0.74881	1	0.188	0.141	0.163	0.69572	0.167
GSE27786_BCELL_VS_NEUTROPHIL_DN	144	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_NEUTROPHIL_DN	0.24953	1.0986	0.3072	0.7492	1	0.278	0.21	0.222	0.6966	0.168
GSE17721_LPS_VS_GARDIQUIMOD_8H_BMDM_UP	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_GARDIQUIMOD_8H_BMDM_UP	0.24456	1.0984	0.2779	0.74793	1	0.284	0.238	0.219	0.6946	0.168
GSE9037_WT_VS_IRAK4_KO_BMDM_UP	179	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9037_WT_VS_IRAK4_KO_BMDM_UP	0.23643	1.0982	0.2648	0.74684	1	0.173	0.131	0.153	0.69262	0.168
GSE27786_NKCELL_VS_ERYTHROBLAST_DN	124	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_NKCELL_VS_ERYTHROBLAST_DN	0.26207	1.0973	0.3125	0.74814	1	0.242	0.196	0.196	0.69455	0.165
GSE17721_LPS_VS_CPG_16H_BMDM_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_CPG_16H_BMDM_DN	0.2399	1.0956	0.2733	0.75291	1	0.269	0.227	0.21	0.69743	0.17
GSE24102_GRANULOCYSTIC_MDSC_VS_NEUTROPHIL_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24102_GRANULOCYSTIC_MDSC_VS_NEUTROPHIL_UP	0.22642	1.0955	0.2385	0.75145	1	0.279	0.239	0.215	0.6964	0.17
GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP	140	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP	0.23221	1.0941	0.2374	0.75555	1	0.236	0.199	0.191	0.70075	0.171
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	0.249	1.0937	0.3174	0.75483	1	0.296	0.259	0.222	0.70104	0.168
GSE7852_TREG_VS_TCONV_FAT_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7852_TREG_VS_TCONV_FAT_DN	0.22745	1.0926	0.2597	0.75729	1	0.19	0.161	0.162	0.70351	0.17
GSE17974_0H_VS_0.5H_IN_VITRO_ACT_CD4_TCELL_UP	111	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_0H_VS_0.5H_IN_VITRO_ACT_CD4_TCELL_UP	0.29886	1.0919	0.3405	0.75823	1	0.27	0.202	0.218	0.70485	0.171
